region,experiment,site,site.name,site.code,foundation.species,lat,long,elevation,MAT,MAP,aridity.demartonne.annual,aspect,physical.geography,directions
California,shrub contrast,Panoche,PAN1,1.1,Ephedra californica,36.69533,-120.7972,661,14.2,398,2.802816901,Plateau,Aspects,Right turn on BLM main road at Panoche Hills Management area. 
California,shrub contrast,Panoche,PAN2,1.2,Ephedra californica,36.70654,-120.812,611,14.4,377,2.618055556,South,Aspects,
California,shrub contrast,Panoche,PAN3,1.3,Ephedra californica,36.70554,-120.81229,596,14.4,377,2.618055556,North,Aspects,
California,shrub contrast,Mojave,MNP1,2.1,Larrea Tridentia,35.25608333,-116.0472333,313,21.5,70,0.325581395,Flat,Elevation,Turn right on Kelbaker road at HWY 15 and Baker City. Sites between MNP sign and power lines at elevational peak
California,shrub contrast,Mojave,MNP2,2.2,Larrea Tridentia,35.2502,-115.9224333,515,20.8,80,0.384615385,Flat,Elevation,
California,shrub contrast,Mojave,MNP3,2.3,Larrea Tridentia,35.18428333,-115.8600167,737,20.4,89,0.43627451,Flat,Elevation,
California,shrub contrast,Mojave,MNP4,2.4,Larrea Tridentia,35.15516667,-115.7903333,951,18.7,134,0.71657754,Flat,Elevation,
California,shrub contrast,Mojave,MNP5,2.5,Larrea Tridentia,35.14453333,-115.7286167,1128,17.5,168,0.96,Rocky,Elevation,
California,ERG,Panoche,PanocheHills,1,Ephedra californica,36.70000998,-120.801116,656.320862,14.4,381,2.474025974,,"San Joaquin Valley, western hills in an Ephedra dominated strand",
California,ERG,Cuyama,Cuyama,2,Ephedra californica,34.85521998,-119.48851,806.83429,14.1,542,3.589403974,,"San Joaquin Valley, south of Carrizo plains contained within a barbed wire fence.",
California,ERG,San Joaquin,TejonRanch,3,Ephedra californica,34.875994,-118.60246,1118.022,13.7,305,2.074829932,,"San Joaquin and Mojave desert border, south of the Tehachapi mountains in Antelope Valley (transition area, dominated by Joshua tree)",
California,ERG,Mojave,M3,4,Ephedra californica,35.094051,-116.8349,496.02,19.7,135,0.652173913,,"Western Mojave desert, typical scrub with Larrea tridentata/Ambrosia dumosa dominating",
California,ERG,Mojave,M2,5,Ephedra californica,34.698199,-115.684169,784.73,19.3,79,0.389162562,,"Central Mojave desert, scrub/wash with Larrea tridentata/Ambrosia dumosa dominating",
California,ERG,Mojave,M1,6,Ephedra californica,34.205676,-115.719676,545.92,20.9,109,0.497716895,,"South-eastern Mojave, near Colorado desert border. Larrea dominated scrub",
California,ERG,Carrizo,Tecopa,7,Ephedra californica,35.85151504,-116.186706,699.456665,20.1,77,0.36492891,,Immigrant pass road located east of Tecopa along the road towards Las Vegas.,
California,micronet,Cuyama,C1,1,Ephedra californica,34.84872602,-119.483117,848,13.4,533,3.701388889,flat,,
California,micronet,Cuyama,C2,2,Ephedra californica,34.85362197,-119.485961,837,13.4,533,3.701388889,flat,,
California,micronet,Cuyama,C3,3,Ephedra californica,34.93824399,-119.48084,827,13.4,533,3.701388889,flat,,
California,micronet,Cuyama,micronet,4,Ephedra californica,34.94722403,-119.480491,838,13.4,533,3.701388889,east-facing slope,,
California,micronet,Cuyama,micronet,5,Ephedra californica,35.04595203,-119.889098,557,14.1,529,3.503311258,south-facing slope,,
California,micronet,Cuyama,micronet,6,Ephedra californica,35.04901201,-119.896177,504,14.1,529,3.503311258,south-facing slope,,
California,BNLL,Carrizo,plant-animal,1,Ephedra californica,35.20177,-119.72495,,14.2,494,3.25,,,
California,BNLL,Carrizo,plant-animal,2,Ephedra californica,35.19266,-119.71253,,14.2,494,3.25,,,
California,BNLL,Carrizo,plant-animal,3,Ephedra californica,35.16245,-119.67445,,14,524,3.493333333,,,
California,BNLL,Carrizo,telemetry,4,Ephedra californica,35.11566,-119.62069,,14.5,476,3.070967742,,,
California,BNLL,Carrizo,plant-animal,5,Ephedra californica,35.07283,-119.6606,,14.5,476,3.070967742,,,
California,BNLL,Carrizo,plant-animal,6,Ephedra californica,35.24177,-119.79147,,14.2,494,3.25,,,
California,magnet,Mojave,Kelso,1,Larrea tridentata,35.3889,-115.40502,,17.2,169,0.928571429,,,
California,magnet,Mojave,Kelso,2,Larrea tridentata,35.31008,-115.39279,,15.4,232,1.414634146,,,
California,magnet,Mojave,Kelso,3,Larrea tridentata,35.41113,-115.401584,,17.2,169,0.928571429,,,
California,magnet,Mojave,Kelso,4,Larrea tridentata,35.41392,-115.393789,,17.2,169,0.928571429,,,
California,magnet,Mojave,Kelso,5,Larrea tridentata,35.061279,-115.664356,,18.4,162,0.835051546,,,
California,polllinator networks,Mojave,Sunset Cove,1,Cylindropuntia acanthocarpa,34.782643,-115.662498,1321,18.6,176,0.897959184,,,
California,polllinator networks,Mojave,Sunset Cove,2,Larrea trientata,34.776453,-115.660723,1283,18.6,176,0.897959184,,,
